trending_month,category,cat_cnt,avg_comment_cnt,avg_likes_cnt,contry
17-11,Autos & Vehicles,12,2624.4166666666665,20709.083333333332,Great Britain
17-11,Comedy,200,8310.355,55101.82,Great Britain
17-11,Education,62,1665.5806451612902,15505.532258064517,Great Britain
17-11,Entertainment,772,4507.920984455958,46365.5310880829,Great Britain
17-11,Film & Animation,104,4751.7307692307695,33322.86538461538,Great Britain
17-11,Gaming,168,3772.7321428571427,16842.10714285714,Great Britain
17-11,Howto & Style,325,1665.556923076923,18924.64923076923,Great Britain
17-11,Music,833,15380.024009603841,177564.94237695078,Great Britain
17-11,News & Politics,146,1772.2808219178082,4843.3835616438355,Great Britain
17-11,People & Blogs,321,1028.2554517133956,13407.074766355141,Great Britain
17-11,Pets & Animals,35,517.0571428571428,8002.914285714286,Great Britain
17-11,Science & Technology,154,7041.922077922078,37524.57142857143,Great Britain
17-11,Sports,251,746.6892430278884,6318.653386454183,Great Britain
17-11,Travel & Events,15,1263.8,13123.866666666667,Great Britain
17-12,Autos & Vehicles,81,3502.777777777778,22044.14814814815,Great Britain
17-12,Comedy,348,9389.045977011494,111560.03448275862,Great Britain
17-12,Education,101,1713.4257425742574,13566.049504950495,Great Britain
17-12,Entertainment,1382,21237.638205499276,117192.22865412445,Great Britain
17-12,Film & Animation,297,2602.161616161616,15608.38383838384,Great Britain
17-12,Gaming,420,2738.5142857142855,13014.95,Great Britain
17-12,Howto & Style,401,1192.0299251870324,11066.43391521197,Great Britain
17-12,Music,1580,12005.068987341772,129127.71265822784,Great Britain
17-12,News & Politics,295,2585.9627118644066,7956.281355932203,Great Britain
17-12,Nonprofits & Activism,10,181.8,3506.2,Great Britain
17-12,People & Blogs,734,7791.363760217983,36647.05040871935,Great Britain
17-12,Pets & Animals,23,920.5217391304348,7320.173913043478,Great Britain
17-12,Science & Technology,106,8250.094339622641,34741.72641509434,Great Britain
17-12,Sports,413,828.4842615012107,3635.7990314769977,Great Britain
17-12,Travel & Events,4,588.25,9530.75,Great Britain
18-01,Autos & Vehicles,28,5313.821428571428,34708.25,Great Britain
18-01,Comedy,252,20042.9126984127,88266.95238095238,Great Britain
18-01,Education,129,2066.6356589147285,15388.341085271319,Great Britain
18-01,Entertainment,1376,19254.600290697676,54486.16206395349,Great Britain
18-01,Film & Animation,306,2600.2712418300653,16037.849673202614,Great Britain
18-01,Gaming,291,2385.3333333333335,16684.068728522336,Great Britain
18-01,Howto & Style,392,6427.3877551020405,28917.785714285714,Great Britain
18-01,Music,1648,11167.795509708738,154361.33555825244,Great Britain
18-01,News & Politics,280,4248.775,10599.214285714286,Great Britain
18-01,Nonprofits & Activism,16,253390.375,770388.375,Great Britain
18-01,People & Blogs,557,5490.095152603231,41837.79353680431,Great Britain
