trending_month,category,cat_cnt,sum_views_cnt,sum_likes_cnt,country
17-12,Entertainment,1950,3040301896,97353572,Canada
17-12,Music,592,2072453518,81668529,Canada
18-03,Entertainment,2132,1838103777,55760559,Canada
18-03,Music,501,1830472689,68733871,Canada
18-02,Entertainment,1738,1687839476,37666963,Canada
18-01,Music,526,1631946015,66734600,Canada
18-01,Entertainment,1842,1503926197,44161683,Canada
18-02,Music,496,1438678840,63771571,Canada
17-11,Music,292,1185554206,53649345,Canada
17-11,Entertainment,1072,848366090,25932644,Canada
17-12,Comedy,638,751932767,46056461,Canada
18-02,People & Blogs,582,606395832,12480818,Canada
18-03,Sports,424,542812562,12509622,Canada
18-03,Film & Animation,355,539286719,14490888,Canada
18-02,Film & Animation,261,525672915,13428632,Canada
18-02,Sports,449,504823651,8546495,Canada
18-04,Music,185,476839614,21340003,Canada
18-03,Comedy,549,468180412,22115045,Canada
18-01,Comedy,490,463675683,24947102,Canada
18-04,Entertainment,541,453879994,16724861,Canada
17-12,People & Blogs,649,449986249,17842236,Canada
17-12,Sports,371,425797940,9289041,Canada
17-11,Comedy,386,399313760,22407121,Canada
18-01,Sports,393,393323441,8121904,Canada
18-01,People & Blogs,628,347758834,12913327,Canada
17-11,Film & Animation,166,315780362,7205709,Canada
17-11,People & Blogs,362,241083697,8654292,Canada
18-04,Comedy,174,181075350,10549773,Canada
18-04,Sports,173,174471438,2004055,Canada
18-04,People & Blogs,196,150164474,5222723,Canada
