trending_date,category,count
2017-11-14,Autos & Vehicles,4
2017-11-14,Comedy,23
2017-11-14,Education,7
2017-11-14,Entertainment,54
2017-11-14,Film & Animation,9
2017-11-14,Gaming,10
2017-11-14,Howto & Style,8
2017-11-14,Music,9
2017-11-14,News & Politics,10
2017-11-14,People & Blogs,27
2017-11-14,Science & Technology,6
2017-11-14,Sports,33
2017-11-15,Autos & Vehicles,2
2017-11-15,Comedy,20
2017-11-15,Education,3
2017-11-15,Entertainment,46
2017-11-15,Film & Animation,11
2017-11-15,Gaming,8
2017-11-15,Howto & Style,13
2017-11-15,Music,16
2017-11-15,News & Politics,13
2017-11-15,People & Blogs,27
2017-11-15,Pets & Animals,1
2017-11-15,Science & Technology,10
2017-11-15,Shows,1
2017-11-15,Sports,26
2017-11-15,Travel & Events,3
2017-11-16,Autos & Vehicles,3
2017-11-16,Comedy,28
2017-11-16,Education,4
2017-11-16,Entertainment,48
2017-11-16,Film & Animation,10
2017-11-16,Gaming,7
2017-11-16,Howto & Style,9
2017-11-16,Music,16
2017-11-16,News & Politics,15
2017-11-16,People & Blogs,27
2017-11-16,Pets & Animals,2
2017-11-16,Science & Technology,8
2017-11-16,Sports,21
2017-11-16,Travel & Events,1
2017-11-17,Autos & Vehicles,4
2017-11-17,Comedy,32
2017-11-17,Education,4
2017-11-17,Entertainment,45
2017-11-17,Film & Animation,14
2017-11-17,Gaming,14
2017-11-17,Howto & Style,8
2017-11-17,Music,10
2017-11-17,News & Politics,14
2017-11-17,People & Blogs,18
2017-11-17,Pets & Animals,1
2017-11-17,Science & Technology,12
2017-11-17,Shows,1
2017-11-17,Sports,22
2017-11-17,Travel & Events,1
2017-11-18,Autos & Vehicles,3
2017-11-18,Comedy,36
2017-11-18,Education,1
2017-11-18,Entertainment,40
2017-11-18,Film & Animation,11
2017-11-18,Gaming,8
2017-11-18,Howto & Style,12
2017-11-18,Music,20
2017-11-18,News & Politics,21
2017-11-18,People & Blogs,18
2017-11-18,Pets & Animals,1
2017-11-18,Science & Technology,7
2017-11-18,Shows,1
2017-11-18,Sports,18
2017-11-18,Travel & Events,1
2017-11-19,Autos & Vehicles,6
2017-11-19,Comedy,29
2017-11-19,Education,4
2017-11-19,Entertainment,45
2017-11-19,Film & Animation,15
2017-11-19,Gaming,4
2017-11-19,Howto & Style,10
2017-11-19,Music,18
2017-11-19,News & Politics,11
2017-11-19,People & Blogs,28
2017-11-19,Pets & Animals,1
2017-11-19,Science & Technology,7
2017-11-19,Sports,19
2017-11-19,Travel & Events,1
2017-11-20,Autos & Vehicles,6
2017-11-20,Comedy,26
2017-11-20,Education,2
2017-11-20,Entertainment,48
2017-11-20,Film & Animation,10
2017-11-20,Gaming,7
2017-11-20,Howto & Style,11
2017-11-20,Music,21
2017-11-20,News & Politics,19
2017-11-20,People & Blogs,28
2017-11-20,Science & Technology,4
2017-11-20,Sports,16
2017-11-20,Travel & Events,2
2017-11-21,Autos & Vehicles,4
2017-11-21,Comedy,21
2017-11-21,Education,5
2017-11-21,Entertainment,46
2017-11-21,Film & Animation,13
2017-11-21,Gaming,10
2017-11-21,Howto & Style,7
2017-11-21,Music,17
2017-11-21,News & Politics,28
2017-11-21,People & Blogs,24
2017-11-21,Pets & Animals,1
2017-11-21,Science & Technology,5
2017-11-21,Shows,1
2017-11-21,Sports,17
2017-11-22,Autos & Vehicles,2
2017-11-22,Comedy,21
2017-11-22,Education,6
2017-11-22,Entertainment,50
2017-11-22,Film & Animation,17
2017-11-22,Gaming,12
2017-11-22,Howto & Style,15
2017-11-22,Music,9
2017-11-22,News & Politics,15
2017-11-22,People & Blogs,25
2017-11-22,Pets & Animals,1
2017-11-22,Science & Technology,2
2017-11-22,Sports,23
2017-11-23,Autos & Vehicles,4
2017-11-23,Comedy,25
2017-11-23,Education,5
2017-11-23,Entertainment,50
2017-11-23,Film & Animation,12
2017-11-23,Gaming,6
2017-11-23,Howto & Style,13
2017-11-23,Music,13
2017-11-23,News & Politics,21
2017-11-23,People & Blogs,21
2017-11-23,Pets & Animals,2
2017-11-23,Science & Technology,4
2017-11-23,Shows,1
2017-11-23,Sports,22
2017-11-24,Autos & Vehicles,6
2017-11-24,Comedy,27
2017-11-24,Education,4
2017-11-24,Entertainment,46
2017-11-24,Film & Animation,9
2017-11-24,Gaming,4
2017-11-24,Howto & Style,10
2017-11-24,Music,12
2017-11-24,News & Politics,21
2017-11-24,People & Blogs,30
2017-11-24,Pets & Animals,4
2017-11-24,Science & Technology,5
2017-11-24,Shows,1
2017-11-24,Sports,20
2017-11-25,Autos & Vehicles,6
2017-11-25,Comedy,36
2017-11-25,Education,5
2017-11-25,Entertainment,42
2017-11-25,Film & Animation,10
2017-11-25,Gaming,7
2017-11-25,Howto & Style,13
2017-11-25,Music,22
2017-11-25,News & Politics,14
2017-11-25,People & Blogs,25
2017-11-25,Pets & Animals,2
2017-11-25,Science & Technology,5
2017-11-25,Shows,1
2017-11-25,Sports,11
2017-11-26,Autos & Vehicles,5
2017-11-26,Comedy,34
2017-11-26,Education,3
2017-11-26,Entertainment,37
2017-11-26,Film & Animation,12
2017-11-26,Gaming,10
2017-11-26,Howto & Style,15
2017-11-26,Music,10
2017-11-26,News & Politics,21
2017-11-26,People & Blogs,27
2017-11-26,Science & Technology,7
2017-11-26,Sports,17
2017-11-26,Travel & Events,1
2017-11-27,Autos & Vehicles,14
2017-11-27,Comedy,23
2017-11-27,Education,5
2017-11-27,Entertainment,34
2017-11-27,Film & Animation,12
2017-11-27,Gaming,13
2017-11-27,Howto & Style,16
2017-11-27,Music,8
2017-11-27,News & Politics,17
2017-11-27,People & Blogs,21
2017-11-27,Pets & Animals,3
2017-11-27,Science & Technology,6
2017-11-27,Sports,26
2017-11-28,Autos & Vehicles,8
2017-11-28,Comedy,24
2017-11-28,Education,2
2017-11-28,Entertainment,51
2017-11-28,Film & Animation,11
2017-11-28,Gaming,8
2017-11-28,Howto & Style,10
2017-11-28,Music,3
2017-11-28,News & Politics,19
2017-11-28,People & Blogs,27
2017-11-28,Pets & Animals,1
2017-11-28,Science & Technology,4
2017-11-28,Shows,1
2017-11-28,Sports,29
2017-11-29,Autos & Vehicles,3
2017-11-29,Comedy,25
2017-11-29,Education,5
2017-11-29,Entertainment,56
2017-11-29,Film & Animation,9
2017-11-29,Gaming,8
2017-11-29,Howto & Style,9
2017-11-29,Music,8
2017-11-29,News & Politics,21
2017-11-29,People & Blogs,25
2017-11-29,Science & Technology,4
2017-11-29,Shows,1
2017-11-29,Sports,23
2017-11-29,Travel & Events,2
2017-11-30,Autos & Vehicles,5
2017-11-30,Comedy,23
2017-11-30,Education,3
2017-11-30,Entertainment,46
2017-11-30,Film & Animation,12
2017-11-30,Gaming,1
2017-11-30,Howto & Style,10
2017-11-30,Music,17
2017-11-30,News & Politics,23
2017-11-30,People & Blogs,30
2017-11-30,Pets & Animals,1
2017-11-30,Science & Technology,4
2017-11-30,Sports,22
2017-11-30,Travel & Events,1
2017-12-01,Autos & Vehicles,6
2017-12-01,Comedy,27
2017-12-01,Education,6
2017-12-01,Entertainment,47
2017-12-01,Film & Animation,7
2017-12-01,Gaming,4
2017-12-01,Howto & Style,13
2017-12-01,Music,18
2017-12-01,News & Politics,26
2017-12-01,People & Blogs,18
2017-12-01,Pets & Animals,3
2017-12-01,Science & Technology,1
2017-12-01,Shows,1
2017-12-01,Sports,18
2017-12-01,Travel & Events,1
2017-12-02,Autos & Vehicles,4
2017-12-02,Comedy,29
2017-12-02,Education,7
2017-12-02,Entertainment,35
2017-12-02,Film & Animation,11
2017-12-02,Gaming,3
2017-12-02,Howto & Style,12
2017-12-02,Music,27
2017-12-02,News & Politics,20
2017-12-02,People & Blogs,28
2017-12-02,Science & Technology,4
2017-12-02,Shows,1
2017-12-02,Sports,16
2017-12-02,Travel & Events,1
2017-12-03,Autos & Vehicles,2
2017-12-03,Comedy,24
2017-12-03,Education,3
2017-12-03,Entertainment,51
2017-12-03,Film & Animation,14
2017-12-03,Gaming,3
2017-12-03,Howto & Style,10
2017-12-03,Music,20
2017-12-03,News & Politics,11
2017-12-03,People & Blogs,32
2017-12-03,Pets & Animals,2
2017-12-03,Science & Technology,5
2017-12-03,Sports,19
2017-12-03,Travel & Events,3
2017-12-04,Autos & Vehicles,4
2017-12-04,Comedy,20
2017-12-04,Education,9
2017-12-04,Entertainment,51
2017-12-04,Film & Animation,15
2017-12-04,Gaming,2
