trending_month,category,cat_cnt,sum_comment_cnt,sum_likes_cnt,country
17-11,Autos & Vehicles,85,28768.0,190641,France
17-11,Comedy,453,920032.0,13714303,France
17-11,Education,68,46358.0,508359,France
17-11,Entertainment,784,814138.0,7816131,France
17-11,Film & Animation,197,148725.0,1453532,France
17-11,Gaming,137,113334.0,1497444,France
17-11,Howto & Style,189,132537.0,1257192,France
17-11,Music,229,2098886.0,20960023,France
17-11,News & Politics,303,109873.0,591785,France
17-11,Nonprofits & Activism,17,119.0,1825,France
17-11,People & Blogs,428,165903.0,1150416,France
17-11,Pets & Animals,21,38448.0,200858,France
17-11,Science & Technology,100,303908.0,2242179,France
17-11,Shows,9,2726.0,24985,France
17-11,Sports,365,297322.0,3340093,France
17-11,Travel & Events,13,1050.0,9870,France
17-12,Autos & Vehicles,84,47634.0,407227,France
17-12,Comedy,788,1666870.0,29925754,France
17-12,Education,128,104256.0,1086493,France
17-12,Entertainment,1533,4536813.0,23364661,France
17-12,Film & Animation,351,239716.0,1793309,France
17-12,Gaming,234,323198.0,3123136,France
17-12,Howto & Style,358,286665.0,2756516,France
17-12,Music,516,2009218.0,26780170,France
17-12,News & Politics,555,198318.0,1072521,France
17-12,Nonprofits & Activism,30,91703.0,378299,France
17-12,People & Blogs,887,536792.0,3943528,France
17-12,Pets & Animals,32,57283.0,330611,France
17-12,Science & Technology,100,257971.0,1868315,France
17-12,Shows,20,10530.0,59112,France
17-12,Sports,565,536633.0,6496983,France
17-12,Travel & Events,16,2824.0,13878,France
18-01,Autos & Vehicles,90,17502.0,132011,France
18-01,Comedy,622,1057634.0,16151814,France
18-01,Education,103,96375.0,1150213,France
18-01,Entertainment,1307,1544332.0,13076856,France
18-01,Film & Animation,306,395798.0,2878345,France
18-01,Gaming,232,563629.0,3551531,France
18-01,Howto & Style,353,237111.0,1783421,France
18-01,Music,570,3005043.0,35863685,France
18-01,News & Politics,563,229036.0,1197947,France
18-01,Nonprofits & Activism,26,1536165.0,4580551,France
18-01,People & Blogs,764,371075.0,2824375,France
18-01,Pets & Animals,23,9518.0,107360,France
18-01,Science & Technology,107,524527.0,2701297,France
18-01,Shows,12,7788.0,37514,France
18-01,Sports,693,776037.0,8077846,France
18-01,Travel & Events,23,5795.0,51175,France
18-02,Autos & Vehicles,101,23065.0,163178,France
18-02,Comedy,482,942699.0,14757342,France
18-02,Education,103,129648.0,1441941,France
18-02,Entertainment,1338,1813970.0,15353385,France
18-02,Film & Animation,307,471671.0,4065732,France
18-02,Gaming,211,216907.0,1680128,France
18-02,Howto & Style,365,237183.0,1867953,France
18-02,Music,573,2250458.0,30650082,France
18-02,News & Politics,481,327581.0,2097283,France
18-02,Nonprofits & Activism,6,53363.0,281407,France
18-02,People & Blogs,782,475667.0,3301239,France
18-02,Pets & Animals,47,38737.0,176404,France
18-02,Science & Technology,142,415106.0,3822601,France
18-02,Shows,9,4334.0,22674,France
18-02,Sports,586,719503.0,5784870,France
18-02,Travel & Events,15,1327.0,5621,France
18-03,Autos & Vehicles,121,29972.0,179273,France
18-03,Comedy,582,969165.0,14074133,France
18-03,Education,107,135663.0,1477198,France
18-03,Entertainment,1410,2081357.0,18137064,France
18-03,Film & Animation,311,526418.0,5129913,France
18-03,Gaming,230,204304.0,2176815,France
18-03,Howto & Style,356,195305.0,1591075,France
18-03,Music,646,3729658.0,37977332,France
18-03,News & Politics,578,241025.0,995199,France
18-03,Nonprofits & Activism,9,101828.0,430792,France
18-03,People & Blogs,971,355340.0,3041670,France
18-03,Pets & Animals,48,8231.0,81008,France
18-03,Science & Technology,111,104709.0,1420560,France
18-03,Shows,4,1074.0,11628,France
18-03,Sports,644,685795.0,6648319,France
18-03,Travel & Events,18,56166.0,553681,France
18-04,Autos & Vehicles,33,6432.0,42762,France
18-04,Comedy,192,453694.0,6424237,France
18-04,Education,30,19630.0,178212,France
18-04,Entertainment,386,396994.0,3875729,France
18-04,Film & Animation,94,116938.0,817207,France
18-04,Gaming,57,55450.0,564600,France
18-04,Howto & Style,88,214319.0,1427711,France
18-04,Music,201,1225729.0,14737913,France
18-04,News & Politics,175,90265.0,312267,France
18-04,Nonprofits & Activism,5,480.0,9799,France
18-04,People & Blogs,254,184721.0,1194530,France
18-04,Pets & Animals,13,7423.0,90549,France
18-04,Science & Technology,32,97635.0,761185,France
18-04,Shows,2,588.0,7049,France
18-04,Sports,218,172583.0,1761371,France
18-04,Travel & Events,5,4256.0,1981,France
