trending_month,category,cat_cnt,sum_views_cnt,sum_likes_cnt,country
17-11,Autos & Vehicles,12,9187223,248509,Great Britain
17-11,Comedy,200,264224050,11020364,Great Britain
17-11,Education,62,24390806,961343,Great Britain
17-11,Entertainment,772,1285179140,35794190,Great Britain
17-11,Film & Animation,104,155511937,3465578,Great Britain
17-11,Gaming,168,111595376,2829474,Great Britain
17-11,Howto & Style,325,229596466,6150511,Great Britain
17-11,Music,833,4158943353,147911597,Great Britain
17-11,News & Politics,146,47498183,707134,Great Britain
17-11,People & Blogs,321,114619489,4303671,Great Britain
17-11,Pets & Animals,35,6666551,280102,Great Britain
17-11,Science & Technology,154,258196639,5778784,Great Britain
17-11,Sports,251,101228968,1585982,Great Britain
17-11,Travel & Events,15,24018882,196858,Great Britain
17-12,Autos & Vehicles,81,77420739,1785576,Great Britain
17-12,Comedy,348,924400764,38822892,Great Britain
17-12,Education,101,41689348,1370171,Great Britain
17-12,Entertainment,1382,5848482923,161959660,Great Britain
17-12,Film & Animation,297,317152438,4635690,Great Britain
17-12,Gaming,420,175258118,5466279,Great Britain
17-12,Howto & Style,401,101324640,4437640,Great Britain
17-12,Music,1580,5427655009,204021786,Great Britain
17-12,News & Politics,295,164288954,2347103,Great Britain
17-12,Nonprofits & Activism,10,533703,35062,Great Britain
17-12,People & Blogs,734,687830599,26898935,Great Britain
17-12,Pets & Animals,23,3726198,168364,Great Britain
17-12,Science & Technology,106,83621383,3682623,Great Britain
17-12,Sports,413,150245144,1501585,Great Britain
17-12,Travel & Events,4,453339,38123,Great Britain
18-01,Autos & Vehicles,28,76955154,971831,Great Britain
18-01,Comedy,252,544667482,22243272,Great Britain
18-01,Education,129,58322911,1985096,Great Britain
18-01,Entertainment,1376,2108655386,74972959,Great Britain
18-01,Film & Animation,306,253571983,4907582,Great Britain
18-01,Gaming,291,158337723,4855064,Great Britain
18-01,Howto & Style,392,171815484,11335772,Great Britain
18-01,Music,1648,8102315782,254387481,Great Britain
18-01,News & Politics,280,106494163,2967780,Great Britain
18-01,Nonprofits & Activism,16,134046244,12326214,Great Britain
18-01,People & Blogs,557,532408260,23303651,Great Britain
18-01,Pets & Animals,97,64569943,1915911,Great Britain
18-01,Science & Technology,58,62405991,1400692,Great Britain
18-01,Sports,334,175176889,2070198,Great Britain
18-01,Travel & Events,33,3986406,138583,Great Britain
18-02,Autos & Vehicles,15,37421295,106710,Great Britain
18-02,Comedy,326,567146563,16484803,Great Britain
18-02,Education,63,42186009,1765126,Great Britain
18-02,Entertainment,1269,4904719539,70341909,Great Britain
18-02,Film & Animation,495,1756239356,33177490,Great Britain
18-02,Gaming,174,60908341,2288425,Great Britain
18-02,Howto & Style,390,346106467,16891757,Great Britain
18-02,Music,1722,20079545911,398350495,Great Britain
18-02,News & Politics,116,232519645,11218348,Great Britain
18-02,Nonprofits & Activism,21,130380207,10160099,Great Britain
18-02,People & Blogs,490,1992116092,31258853,Great Britain
18-02,Pets & Animals,151,184104109,5185868,Great Britain
18-02,Science & Technology,76,465385715,9007397,Great Britain
18-02,Sports,248,734388573,10024586,Great Britain
18-02,Travel & Events,25,100717051,249592,Great Britain
18-03,Comedy,250,465085349,17550720,Great Britain
18-03,Education,57,29990186,1187990,Great Britain
18-03,Entertainment,1458,4458132401,114331171,Great Britain
18-03,Film & Animation,473,2229906959,43229706,Great Britain
18-03,Gaming,258,304471822,11235449,Great Britain
18-03,Howto & Style,324,209212920,7902294,Great Britain
18-03,Music,2404,43583337914,801781698,Great Britain
18-03,News & Politics,107,226972938,4964968,Great Britain
18-03,Nonprofits & Activism,7,831138,37463,Great Britain
18-03,People & Blogs,325,1284390947,15002116,Great Britain
18-03,Pets & Animals,59,52578242,1045733,Great Britain
18-03,Science & Technology,68,489643877,8144710,Great Britain
18-03,Sports,307,1474832642,48013322,Great Britain
18-03,Travel & Events,19,3609315,305591,Great Britain
18-04,Comedy,72,167470407,6243045,Great Britain
18-04,Education,12,48849726,2788075,Great Britain
18-04,Entertainment,372,1557852452,50377347,Great Britain
18-04,Film & Animation,130,339462896,6724638,Great Britain
18-04,Gaming,77,231719555,11674857,Great Britain
18-04,Howto & Style,42,33918893,1287380,Great Britain
18-04,Music,812,11637415243,218286358,Great Britain
18-04,News & Politics,12,3741480,31353,Great Britain
18-04,People & Blogs,93,202452281,6225140,Great Britain
18-04,Pets & Animals,9,3232721,111664,Great Britain
18-04,Science & Technology,14,60748895,880337,Great Britain
18-04,Sports,65,142004710,5420161,Great Britain
