trending_month,category,cat_cnt,sum_views_cnt,sum_likes_cnt,country
17-11,Autos & Vehicles,47,41074447,577200,United States
17-11,Comedy,315,311563737,14335435,United States
17-11,Education,133,61001618,2649061,United States
17-11,Entertainment,754,822952578,26358337,United States
17-11,Film & Animation,167,439212750,8291683,United States
17-11,Gaming,22,7940007,338444,United States
17-11,Howto & Style,319,176341260,8171398,United States
17-11,Music,612,1813998451,85173641,United States
17-11,News & Politics,208,43640895,620091,United States
17-11,People & Blogs,226,103624559,4242524,United States
17-11,Pets & Animals,56,15664071,745383,United States
17-11,Science & Technology,230,242777286,5890569,United States
17-11,Sports,192,84943405,995675,United States
17-11,Travel & Events,25,17152283,210258,United States
17-12,Autos & Vehicles,52,32186038,879366,United States
17-12,Comedy,574,645445422,35337653,United States
17-12,Education,224,122329399,6021732,United States
17-12,Entertainment,1515,3025569515,91623851,United States
17-12,Film & Animation,360,347868839,7213793,United States
17-12,Gaming,56,40734029,1294657,United States
17-12,Howto & Style,559,534600106,15680693,United States
17-12,Music,941,2213956304,98943824,United States
17-12,News & Politics,497,168481811,2373967,United States
17-12,Nonprofits & Activism,10,146768,8382,United States
17-12,People & Blogs,493,446953279,19972377,United States
17-12,Pets & Animals,127,93144453,3013307,United States
17-12,Science & Technology,275,204212472,7502833,United States
17-12,Shows,9,1393532,39369,United States
17-12,Sports,266,234451695,5483363,United States
17-12,Travel & Events,76,32783319,462119,United States
18-01,Autos & Vehicles,82,40360701,455509,United States
18-01,Comedy,464,620503282,29575638,United States
18-01,Education,252,102555769,3569025,United States
18-01,Entertainment,1263,1290235167,35461663,United States
18-01,Film & Animation,343,478350342,13185822,United States
18-01,Gaming,112,183918099,6766966,United States
18-01,Howto & Style,551,323431872,15438544,United States
18-01,Music,751,2024397015,97766916,United States
18-01,News & Politics,468,129142263,1565512,United States
18-01,Nonprofits & Activism,16,133570568,12288453,United States
18-01,People & Blogs,450,368303857,14944330,United States
18-01,Pets & Animals,196,124283182,3443167,United States
18-01,Science & Technology,329,148506081,5601707,United States
18-01,Shows,7,645656,14446,United States
18-01,Sports,316,380260565,10703583,United States
18-01,Travel & Events,54,12037994,310810,United States
18-02,Autos & Vehicles,126,354523389,1345411,United States
18-02,Comedy,423,452847312,15744798,United States
18-02,Education,229,109583327,3445394,United States
18-02,Entertainment,1185,1373743324,29089397,United States
18-02,Film & Animation,289,1000994382,22303919,United States
18-02,Gaming,75,40708605,1006172,United States
18-02,Howto & Style,478,253296063,11282725,United States
18-02,Music,771,1864315172,80661436,United States
18-02,News & Politics,497,169749834,2003079,United States
18-02,Nonprofits & Activism,18,32489470,2428360,United States
18-02,People & Blogs,424,432853886,21072065,United States
18-02,Pets & Animals,156,54754320,1710840,United States
18-02,Science & Technology,374,518243065,12530898,United States
18-02,Sports,312,564991419,11154869,United States
18-02,Travel & Events,72,138581913,839997,United States
18-03,Autos & Vehicles,16,8701158,160661,United States
18-03,Comedy,524,794689372,35059632,United States
18-03,Education,328,218090497,8717308,United States
18-03,Entertainment,1534,2663414751,82138761,United States
18-03,Film & Animation,337,857868920,19915566,United States
18-03,Gaming,122,232300623,9172933,United States
18-03,Howto & Style,799,511299778,21772206,United States
18-03,Music,809,3911072383,162284475,United States
18-03,News & Politics,171,102139143,1666696,United States
18-03,People & Blogs,489,596210242,21255267,United States
18-03,Pets & Animals,136,96566391,2638131,United States
18-03,Science & Technology,423,423027576,11492274,United States
18-03,Sports,332,931070468,23463901,United States
18-03,Travel & Events,80,65106758,1553956,United States
18-04,Autos & Vehicles,22,24938879,348364,United States
18-04,Comedy,174,304790649,11148093,United States
18-04,Education,87,54381755,1673210,United States
18-04,Entertainment,469,1004457034,29258704,United States
18-04,Film & Animation,83,239402839,5893462,United States
18-04,Gaming,33,34536414,1582116,United States
18-04,Howto & Style,208,216310501,10513018,United States
18-04,Music,278,1161851783,49553779,United States
18-04,News & Politics,47,40916464,969375,United States
18-04,People & Blogs,152,191484368,7009204,United States
18-04,Pets & Animals,24,35820960,1050358,United States
18-04,Science & Technology,88,93180831,1702865,United States
18-04,Shows,2,1548429,50417,United States
18-04,Sports,102,382657944,10968995,United States
18-04,Travel & Events,12,18129321,236222,United States
